,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,SaleType,SaleCondition,SalePrice,AgeWhenSold,RenovatedAgeSold
0,60,3,65.0,-0.20707075668205202,1,0,3,3,0,4,0,5,2,2,0,5,7,5,1,1,12,13,1,196.0,2,4,2,3,4,3.0,2.0,361,6,-0.28855396047015863,-0.9442670603932538,-0.459145218497122,1,0,1,4.0,-0.793162022889068,1.1614536249333403,-0.1202005380086009,0.37020659097219005,1,0,2,1,3,1,2,8,6,0,0,1,2003.0,2,2,0.3508800946869889,5,5,2,-0.7519181992725829,0.21642900322035075,-0.35920182285425706,-0.11629943710230206,-0.27011580124313217,-0.06866821893757184,0,0,0,-0.08765777630136591,2,8,4,208500,5,5
1,20,3,80.0,-0.0918548989935732,1,0,3,3,0,2,0,24,1,2,0,2,6,8,1,1,8,8,2,0.0,3,4,1,3,4,1.0,0.0,482,6,-0.28855396047015863,-0.6410083568513317,0.46630514046588567,1,0,1,4.0,0.257052352914191,-0.7948908644380668,-0.1202005380086009,-0.48234664247401,0,1,2,0,3,1,3,6,6,1,5,1,1976.0,2,2,-0.060710210760740325,5,5,2,1.6256377804327546,-0.7042419476205184,-0.35920182285425706,-0.11629943710230206,-0.27011580124313217,-0.06866821893757184,0,0,0,-0.08765777630136591,5,8,4,181500,31,31
2,60,3,68.0,0.07345480986380946,1,0,0,3,0,4,0,5,2,2,0,5,7,5,1,1,12,13,1,162.0,2,4,2,3,4,2.0,2.0,222,6,-0.28855396047015863,-0.30153965885664297,-0.31326141806945573,1,0,1,4.0,-0.6276109882796874,1.1889432430509714,-0.1202005380086009,0.5148361573603847,1,0,2,1,3,1,2,6,6,1,5,1,2001.0,2,2,0.6315098484013497,5,5,2,-0.7519181992725829,-0.07033735851696916,-0.35920182285425706,-0.11629943710230206,-0.27011580124313217,-0.06866821893757184,0,0,0,-0.08765777630136591,9,8,4,223500,7,6
3,70,3,60.0,-0.09686428411046359,1,0,0,3,0,0,0,6,2,2,0,5,7,5,1,1,13,15,2,0.0,3,4,0,4,2,3.0,0.0,66,6,-0.28855396047015863,-0.06164844560706287,-0.6870886566653505,1,2,1,4.0,-0.5215548567330529,0.9369550769726871,-0.1202005380086009,0.3835277352447869,1,0,1,0,3,1,2,7,6,1,3,5,1998.0,3,3,0.7905333755061542,5,5,2,-0.7519181992725829,-0.1759881233675607,4.091121950018253,-0.11629943710230206,-0.27011580124313217,-0.06866821893757184,0,0,0,-0.08765777630136591,2,8,0,140000,91,36
4,60,3,84.0,0.3750197939006106,1,0,0,3,0,2,0,15,2,2,0,5,8,5,1,1,12,13,1,350.0,2,4,2,3,4,0.0,2.0,328,6,-0.28855396047015863,-0.1748046782719591,0.19961131780905833,1,0,1,4.0,-0.04559563223108319,1.6173231253840548,-0.1202005380086009,1.2988806488332294,1,0,2,1,4,1,2,9,6,1,5,1,2000.0,2,3,1.6979029125159208,5,5,2,0.7799299487254869,0.5635672305865802,-0.35920182285425706,-0.11629943710230206,-0.27011580124313217,-0.06866821893757184,0,0,0,-0.08765777630136591,12,8,4,250000,8,8
5,50,3,85.0,0.36049257706162846,1,0,0,3,0,4,0,11,2,2,0,0,5,5,1,1,12,13,2,0.0,3,4,5,3,4,3.0,2.0,372,6,-0.28855396047015863,-1.1388957805768756,-0.595911281398059,1,0,1,4.0,-0.9483661178353625,0.501702790110196,-0.1202005380086009,-0.29204458143691175,1,0,1,1,1,1,3,5,6,0,0,1,1993.0,3,2,0.03283304047737994,5,5,2,-0.43278316843965164,-0.2514529554036976,-0.35920182285425706,10.79874616639218,-0.27011580124313217,-0.06866821893757184,0,3,3,1.3232825862525124,10,8,4,143000,16,14
6,20,3,75.0,-0.04336405106207429,1,0,3,3,0,4,0,21,2,2,0,2,8,5,1,1,12,13,3,186.0,2,4,2,1,4,0.0,2.0,594,6,-0.28855396047015863,-0.5663252432925002,1.4327853182991745,1,0,1,4.0,1.374521836527511,-0.7948908644380668,-0.1202005380086009,0.3397582612062543,1,0,2,0,3,1,2,7,6,1,3,1,2004.0,2,2,0.7624704001347181,5,5,2,1.2825676222873539,0.1560571375914413,-0.35920182285425706,-0.11629943710230206,-0.27011580124313217,-0.06866821893757184,0,0,0,-0.08765777630136591,8,8,4,307000,3,2
8,50,4,51.0,-0.44050810312914396,1,0,3,3,0,4,0,17,0,2,0,0,7,5,1,1,3,15,2,0.0,3,4,0,4,4,3.0,5.0,0,6,-0.28855396047015863,0.8707589115516826,-0.24031951785562264,1,2,1,1.0,-0.36376402687098675,0.9277918709334768,-0.1202005380086009,0.49199991003593285,0,0,2,0,2,2,3,8,2,2,5,5,1931.0,3,2,-0.02329291026549222,2,5,2,-0.033864379898487625,-0.7042419476205184,2.9949024912592157,-0.11629943710230206,-0.27011580124313217,-0.06866821893757184,0,0,0,-0.08765777630136591,4,8,0,129900,77,58
9,190,3,50.0,-0.31026409008999395,1,0,3,3,0,0,0,3,0,0,1,1,5,6,1,1,8,8,2,0.0,3,4,0,4,4,3.0,2.0,433,6,-0.28855396047015863,-0.9668983069262331,-0.15142157697001354,1,0,1,4.0,-0.22149360650355024,-0.7948908644380668,-0.1202005380086009,-0.8344054553926418,1,0,1,0,2,2,3,5,6,2,5,1,1939.0,2,1,-1.2533866640467737,3,5,2,-0.7519181992725829,-0.643870081991609,-0.35920182285425706,-0.11629943710230206,-0.27011580124313217,-0.06866821893757184,0,0,0,-0.08765777630136591,1,8,4,118000,69,58
10,20,3,70.0,0.06844542474691907,1,0,3,3,0,4,0,19,2,2,0,2,5,5,3,1,6,6,2,0.0,3,4,1,4,4,3.0,4.0,458,6,-0.28855396047015863,-0.9804770548460207,-0.039729292267581574,1,0,1,4.0,-0.3172027983870985,-0.7948908644380668,-0.1202005380086009,-0.904817217976368,1,0,1,0,3,1,3,5,6,0,0,5,1965.0,3,1,-0.4161745654655974,5,5,2,-0.7519181992725829,-0.7042419476205184,-0.35920182285425706,-0.11629943710230206,-0.27011580124313217,-0.06866821893757184,0,0,0,-0.08765777630136591,2,8,4,129500,43,43
