,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0,0.35215139697893266,3,-0.21620388056489545,-0.39520352327432046,1,3,3,0,4,0,5,2,2,0,5,0.5293010943086742,-0.4142668635342554,0.6642872083307605,0.4752137400618246,1,1,11,13,0.761352674464305,2,3,2,2,3,3,2,0.6661119957363684,5,-5.199337582605575,-1.0568765444733672,-0.5394308637341484,0,0,1,4,-0.8439694201388217,0.9766255977290004,-5.199337582605575,0.5134914249316125,0.800496097974559,-5.199337582605575,0.5496162910697036,0.86072523825827,0.15492952527077714,-5.199337582605575,2,0.9397470063075931,5,-5.199337582605575,1,0.6425432443553147,1,0.15619936674212687,0.38244993218482376,4,4,2,-5.199337582605575,0.5613270940379927,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-1.5627214872223367,0.13337869485727427,8,4,0.5585313420951029
1,-5.199337582605575,3,0.587963851500189,0.07912030015842841,1,3,3,0,2,0,24,1,2,0,2,-0.10053459398770496,1.7800054115256905,0.027604016757951728,-0.4142668635342554,1,1,7,8,-5.199337582605575,3,3,1,2,3,1,0,1.1138936960815946,5,-5.199337582605575,-0.6226211131134611,0.5613270940379927,0,0,1,4,0.38978343113916375,-5.199337582605575,-5.199337582605575,-0.4390012085038276,-5.199337582605575,1.918441485013229,0.5496162910697036,-5.199337582605575,0.15492952527077714,-5.199337582605575,3,-0.26268576068373695,5,0.5149233167586909,1,-0.15873980759786757,1,0.15619936674212687,-0.20337896614335013,4,4,2,1.5290150439660217,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-0.4935533950895455,-0.4197409936702004,8,4,0.26287042989159715
2,0.35215139697893266,3,-0.09675252955038441,0.6306126574579133,1,0,3,0,4,0,5,2,2,0,5,0.5293010943086742,-0.4142668635342554,0.5642667997585257,0.3897834311391641,1,1,11,13,0.6271963576001219,2,3,2,2,3,2,2,0.17819329631686495,5,-5.199337582605575,-0.18782358150870487,-0.2678837675840495,0,0,1,4,-0.5379803848163829,1.033646823237722,-5.199337582605575,0.6831778069051377,0.800496097974559,-5.199337582605575,0.5496162910697036,0.86072523825827,0.15492952527077714,-5.199337582605575,2,-0.26268576068373695,5,0.5149233167586909,1,0.5379803848163829,1,0.15619936674212687,0.6927148969290061,4,4,2,-5.199337582605575,0.26268576068373706,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,0.9242515623566275,0.13337869485727427,8,4,0.6863498948283557
3,0.7233425303259227,3,-0.5264168675711283,0.030279125879571413,1,0,3,0,0,0,6,2,2,0,5,0.5293010943086742,-0.4142668635342554,-1.7164151476324772,-0.583495835720468,1,1,12,15,-5.199337582605575,3,3,0,3,1,3,0,-0.2678837675840495,5,-5.199337582605575,0.028859085604391908,-0.930036179723713,0,2,1,4,-0.4033555430561561,0.7397372194138896,-5.199337582605575,0.5394308637341482,0.800496097974559,-5.199337582605575,-0.7630300992592184,-5.199337582605575,0.15492952527077714,-5.199337582605575,2,0.3857258721466417,5,0.5149233167586909,5,0.38978343113916375,2,1.4079051458418625,0.8196556973718009,4,4,2,-5.199337582605575,0.1043180970251652,2.4495125802142232,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-1.5627214872223367,-5.199337582605575,8,0,-0.4556403137378794
4,0.35215139697893266,3,0.761352674464305,1.3480413093808732,1,0,3,0,2,0,15,2,2,0,5,1.1920714430213706,-0.4142668635342554,0.5350828150863223,0.278301687565795,1,1,11,13,1.3100166880582473,2,3,2,2,3,0,2,0.5336357146904792,5,-5.199337582605575,-0.05648561480015194,0.32822341801540306,0,0,1,4,0.13372881179106977,1.4336711263676087,-5.199337582605575,1.3085045490608973,0.800496097974559,-5.199337582605575,0.5496162910697036,0.86072523825827,1.368450292253209,-5.199337582605575,2,1.4045331071795468,5,0.5149233167586909,1,0.5049220111265829,1,1.4079051458418625,1.4790043989044603,4,4,2,0.8302341575863221,0.858909603950358,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,5.19933758270342,0.13337869485727427,8,4,0.9416998217386928
5,-0.046435724770526994,3,0.8355583582575463,1.2982710982714525,1,0,3,0,4,0,11,2,2,0,0,-0.832006270016473,-0.4142668635342554,0.2678837675840495,-0.026348991391809167,1,1,11,13,-5.199337582605575,3,3,4,2,3,3,2,0.707140001621795,5,-5.199337582605575,-1.529558186142137,-0.7563331967496455,0,0,1,4,-1.109377725663068,0.34780933075778137,-5.199337582605575,-0.23679888988190287,0.800496097974559,-5.199337582605575,-0.7630300992592184,0.86072523825827,-2.1440106677777533,-5.199337582605575,3,-1.0103819916421055,5,-5.199337582605575,1,0.1931431668132398,2,0.15619936674212687,-0.06654121327814211,4,4,2,0.0652839163119525,0.040156988733765504,-5.199337582605575,2.8836996793080747,-5.199337582605575,-5.199337582605575,2.3652476466815213,1.1619759226681268,0.7380888474045281,8,4,-0.38978343113916375
6,-5.199337582605575,3,0.28874990115703086,0.24196303143312786,1,3,3,0,4,0,21,2,2,0,2,1.1920714430213706,-0.4142668635342554,0.785036049876892,0.7580042333190846,1,1,11,13,0.7397372194138896,2,3,2,0,3,0,2,1.8053170753091428,5,-5.199337582605575,-0.49780907548583325,1.3912020553624096,0,0,1,4,1.2895780606891756,-5.199337582605575,-5.199337582605575,0.4710043372154918,0.800496097974559,-5.199337582605575,0.5496162910697036,-5.199337582605575,0.15492952527077714,-5.199337582605575,2,0.3857258721466417,5,0.5149233167586909,1,0.7680753131709815,1,0.15619936674212687,0.8083046948943806,4,4,2,1.284091632351267,0.5092020438642008,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,0.6975071194373863,-0.4197409936702004,8,4,1.3418802844763205
8,-0.046435724770526994,4,-0.9416998217386928,-1.072972882447744,1,3,3,0,4,0,17,0,2,0,0,0.5293010943086742,-0.4142668635342554,-1.0864560455350234,-5.199337582605575,1,1,2,15,-5.199337582605575,3,3,0,3,3,3,5,-5.199337582605575,5,-5.199337582605575,0.8589096039503575,-0.17273101614570757,0,2,1,1,-0.23938016267175266,0.7279106885593067,-5.199337582605575,0.6580429849889554,-5.199337582605575,-5.199337582605575,0.5496162910697036,-5.199337582605575,-1.018778135032987,2.1440106677777546,3,0.9397470063075931,2,1.7679032638815986,5,-1.5096563639520433,2,0.15619936674212687,-0.15492952527077714,1,4,2,0.15273360097563818,-5.199337582605575,1.7986625770167266,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-0.86072523825827,0.13337869485727427,8,0,-0.7563331967496455
9,5.19933758270342,3,-1.059682011223806,-0.7315152969860136,1,3,3,0,0,0,3,0,0,1,1,-0.832006270016473,0.5745945104459379,-0.967421566101701,-5.199337582605575,1,1,7,8,-5.199337582605575,3,3,0,3,3,3,2,0.9258509707775368,5,-5.199337582605575,-1.0887225007402812,-0.06151263655249821,0,0,1,4,-0.06276962995222422,-5.199337582605575,-5.199337582605575,-0.9014156427236061,0.800496097974559,-5.199337582605575,-0.7630300992592184,-5.199337582605575,-1.018778135032987,2.1440106677777546,3,-1.0103819916421055,5,1.7679032638815986,1,-1.3557611526861928,1,-5.199337582605575,-2.085355566031829,2,4,2,-5.199337582605575,-0.1766074614443837,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,0.13337869485727427,8,4,-1.1163688902907625
10,-5.199337582605575,3,0.02132928514383558,0.6067183395203842,1,3,3,0,4,0,19,2,2,0,2,-0.832006270016473,-0.4142668635342554,-0.26918439554517987,-0.7364424784433312,3,1,5,6,-5.199337582605575,3,3,1,3,3,3,4,1.0032018770047502,5,-5.199337582605575,-1.1060512003031273,0.043924024540264145,0,0,1,4,-0.19825846997989816,-5.199337582605575,-5.199337582605575,-1.033646823237722,0.800496097974559,-5.199337582605575,-0.7630300992592184,-5.199337582605575,0.15492952527077714,-5.199337582605575,3,-1.0103819916421055,5,-5.199337582605575,5,-0.48648036042064524,2,-5.199337582605575,-0.6059551370107433,4,4,2,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-1.5627214872223367,0.13337869485727427,8,4,-0.7680753131709815
11,0.35215139697893266,3,0.8355583582575463,0.8198774977840471,1,0,3,0,4,0,16,2,2,0,5,1.8312243273394455,-0.4142668635342554,0.9694267073728421,1.0208884174832789,3,1,13,15,1.0843669513803398,0,3,2,0,3,3,2,1.1595151955276424,5,-5.199337582605575,-0.9284842188191136,0.3821289661290019,0,0,1,4,0.21877306861158433,1.646951346230794,-5.199337582605575,1.4199351586896056,0.800496097974559,-5.199337582605575,5.19933758270342,-5.199337582605575,1.368450292253209,-5.199337582605575,0,2.1968938521927224,5,1.7679032638815986,3,0.9534930016811651,0,1.4079051458418625,1.1305174297854546,4,4,2,0.5293010943086739,-0.0879329975415462,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,0.332198018703997,-5.199337582605575,6,5,1.6541447865382133
13,-5.199337582605575,3,1.1117020775386441,0.46165513324033247,1,0,3,0,4,0,5,2,2,0,2,0.5293010943086742,-0.4142668635342554,1.2366522415199066,1.3716572255726536,1,1,11,13,1.1743865247136833,2,3,2,2,3,0,5,-5.199337582605575,5,-5.199337582605575,1.6159023795566534,0.9856104168672697,0,0,1,4,0.8161498870226594,-5.199337582605575,-5.199337582605575,0.033879835403491765,-5.199337582605575,-5.199337582605575,0.5496162910697036,-5.199337582605575,0.15492952527077714,-5.199337582605575,2,0.3857258721466417,5,0.5149233167586909,1,1.2075322646773317,1,1.4079051458418625,1.5175450472144203,4,4,2,0.5790394381393529,0.07408727446138559,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,0.6975071194373863,-0.4197409936702004,6,5,1.185651362750746
15,-0.18803291253891433,4,-0.9416998217386928,-1.072972882447744,1,3,3,0,0,0,3,2,2,0,1,0.5293010943086742,1.7800054115256905,-1.1281436452787637,0.3375056737975598,1,1,12,14,-5.199337582605575,3,3,0,3,3,3,5,-5.199337582605575,5,-5.199337582605575,0.6440862293312933,-0.625669821594675,0,0,1,0,-0.859398555237907,-5.199337582605575,-5.199337582605575,-1.7269688688387586,-5.199337582605575,-5.199337582605575,-0.7630300992592184,-5.199337582605575,-1.018778135032987,-5.199337582605575,3,-1.0103819916421055,5,-5.199337582605575,5,0.15112149093066193,2,0.15619936674212687,0.5554621702769806,4,4,2,0.07912030015842841,1.1093777256630672,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,0.332198018703997,-0.4197409936702004,8,4,-0.6879385303621102
18,-5.199337582605575,3,-0.1498526357052489,1.225942748902993,1,3,3,0,4,0,20,5,2,0,2,-0.832006270016473,-0.4142668635342554,0.785036049876892,0.5894557978497783,1,1,11,13,-5.199337582605575,3,3,2,3,3,3,2,0.5079688671711486,5,-5.199337582605575,-0.1043180970251652,0.25490199055947255,0,0,1,4,0.028859085604391908,-5.199337582605575,-5.199337582605575,-0.8126540791496972,0.800496097974559,-5.199337582605575,-0.7630300992592184,0.86072523825827,0.15492952527077714,-5.199337582605575,2,-0.26268576068373695,5,-5.199337582605575,5,0.7680753131709815,2,0.15619936674212687,0.5554621702769806,4,4,2,-5.199337582605575,1.0166723797729535,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-0.09549215155698779,0.13337869485727427,8,4,-0.10053459398770496
19,-5.199337582605575,3,0.02132928514383558,-0.6959079368789585,1,3,3,0,4,0,12,2,2,0,2,-0.832006270016473,0.5745945104459379,-0.5034973903918751,-0.7364424784433312,3,1,2,10,-5.199337582605575,3,3,1,3,3,3,3,0.2174882951405546,5,-5.199337582605575,0.0006272843941487216,0.02007444749317332,0,4,1,4,0.5496162910697036,-5.199337582605575,-5.199337582605575,-0.2887499011570307,-5.199337582605575,-5.199337582605575,-0.7630300992592184,-5.199337582605575,0.15492952527077714,-5.199337582605575,3,-0.26268576068373695,2,-5.199337582605575,1,-0.7529974415343902,2,-5.199337582605575,-0.9795114633875127,4,4,2,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-0.4935533950895455,0.7380888474045281,0,0,-0.5006512079936529
20,0.35215139697893266,3,1.4605311820132307,1.332063815633509,1,0,3,0,0,0,16,2,2,0,5,1.1920714430213706,-0.4142668635342554,0.9694267073728421,1.0208884174832789,1,1,11,13,1.415158502143181,2,3,2,0,3,0,5,-5.199337582605575,5,-5.199337582605575,1.1318166894611152,0.3548222977134122,0,0,1,4,0.16255239595262488,1.8252551684857314,-5.199337582605575,1.5059721061553841,-5.199337582605575,-5.199337582605575,5.19933758270342,0.86072523825827,1.368450292253209,-5.199337582605575,2,1.4045331071795468,5,0.5149233167586909,3,0.9534930016811651,1,1.4079051458418625,1.5896415003650395,4,4,2,1.1946284406765848,1.505747005712341,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,1.529558186142137,-5.199337582605575,6,5,1.521672536321757
21,-0.18803291253891433,4,-0.7630300992592184,-0.7251988880213617,1,3,0,0,4,0,9,2,2,0,1,0.5293010943086742,1.1281436452787637,-1.1070593519207448,-5.199337582605575,1,1,12,14,-5.199337582605575,3,3,2,3,3,3,5,-5.199337582605575,5,-5.199337582605575,0.23963530614610365,-1.4390013150939502,0,0,1,1,0.01380069383179172,-5.199337582605575,-5.199337582605575,-0.8337856467203664,-5.199337582605575,-5.199337582605575,-0.7630300992592184,-5.199337582605575,0.15492952527077714,-5.199337582605575,2,-0.26268576068373695,5,0.5149233167586909,1,-1.5459273181166064,2,-5.199337582605575,-1.1595151955276424,4,4,0,-5.199337582605575,-5.199337582605575,1.7986625770167266,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-0.09549215155698779,-0.4197409936702004,8,4,-0.48648036042064535
22,-5.199337582605575,3,0.28874990115703086,0.12262492209293416,1,3,3,0,4,0,5,2,2,0,2,1.1920714430213706,-0.4142668635342554,0.5969353414048746,0.3897834311391641,3,1,11,13,1.0663039018153317,2,3,2,2,3,3,5,-5.199337582605575,5,-5.199337582605575,2.2270489288774047,1.6072660144144293,0,0,1,4,1.529558186142137,-5.199337582605575,-5.199337582605575,0.7039217888285135,-5.199337582605575,-5.199337582605575,0.5496162910697036,-5.199337582605575,0.15492952527077714,-5.199337582605575,2,0.3857258721466417,5,0.5149233167586909,1,0.5701609063769159,1,0.15619936674212687,0.31501172334262695,4,4,2,0.6847629895935872,1.5670248866811078,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,0.9242515623566275,0.13337869485727427,8,4,0.7529974415343902
23,1.2753024746021526,4,-1.2724783736910668,-1.4461035929181751,1,3,3,0,4,0,10,2,2,4,2,-0.832006270016473,1.1281436452787637,0.027604016757951728,-0.4142668635342554,1,1,4,5,-5.199337582605575,3,3,2,2,3,3,2,0.9081379276264366,5,-5.199337582605575,-0.8562039026887621,0.043924024540264145,0,4,1,4,-0.11694087484273694,-5.199337582605575,-5.199337582605575,-0.9498728029804083,0.800496097974559,-5.199337582605575,-0.7630300992592184,-5.199337582605575,0.15492952527077714,-5.199337582605575,3,-0.26268576068373695,5,0.5149233167586909,1,-0.15873980759786757,2,0.15619936674212687,0.47943158017267345,4,4,2,0.208504800392331,1.0887225007402812,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-0.09549215155698779,-0.4197409936702004,8,4,-0.7563331967496455
25,-5.199337582605575,3,1.710967638015768,1.3407598222694117,1,3,3,0,0,0,16,2,2,0,2,1.1920714430213706,-0.4142668635342554,1.5712864975769105,1.3716572255726536,1,1,11,13,1.934391922614998,2,3,2,2,3,3,5,-5.199337582605575,5,-5.199337582605575,1.7588177225048642,1.1257762007300158,0,0,1,4,1.053106263987631,-5.199337582605575,-5.199337582605575,0.24842731208518273,-5.199337582605575,-5.199337582605575,0.5496162910697036,-5.199337582605575,0.15492952527077714,-5.199337582605575,2,0.3857258721466417,5,0.5149233167586909,1,1.4979965988053374,1,1.4079051458418625,1.9003138562301762,4,4,2,-5.199337582605575,0.4963895171794244,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,0.332198018703997,0.7380888474045281,8,4,0.997601791069577
26,-5.199337582605575,3,-0.5264168675711283,-0.8091681743595582,1,3,3,0,0,0,12,2,2,0,2,-0.832006270016473,1.1281436452787637,-0.7233425303259227,0.278301687565795,1,1,12,14,-5.199337582605575,3,3,1,3,3,2,1,-0.24196303143312786,4,1.7692467895141646,-0.9183437468263662,-0.3521513969789328,0,4,1,4,-0.63178476896318,-5.199337582605575,-5.199337582605575,-1.4319708910352655,-5.199337582605575,1.918441485013229,-0.7630300992592184,-5.199337582605575,0.15492952527077714,-5.199337582605575,2,-1.0103819916421055,5,-5.199337582605575,5,0.9534930016811651,2,0.15619936674212687,0.5554621702769806,4,4,2,1.0796899285577486,0.06025574033725543,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-0.4935533950895455,5.19933758270342,8,4,-0.6153793801149852
27,-5.199337582605575,3,1.324957688892978,0.7028968380074309,1,3,3,0,4,0,16,2,2,0,2,1.1920714430213706,-0.4142668635342554,1.5712864975769105,1.7560546411295919,1,1,11,13,0.7731401540191065,2,3,2,0,3,3,2,1.4979965988053374,5,-5.199337582605575,-0.06654121327814211,1.4459806926415757,0,0,1,4,1.335885440912343,-5.199337582605575,-5.199337582605575,0.4925242009283879,0.800496097974559,-5.199337582605575,0.5496162910697036,-5.199337582605575,0.15492952527077714,-5.199337582605575,2,0.3857258721466417,5,0.5149233167586909,1,1.8245559358037484,1,1.4079051458418625,1.2312798427797058,4,4,2,-5.199337582605575,0.40744159301214816,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-0.4935533950895455,5.19933758270342,8,4,1.3346510737224326
28,-5.199337582605575,3,-1.2232872497167733,1.656501987252899,1,0,3,0,1,0,12,2,2,0,2,-0.832006270016473,0.5745945104459379,-0.5481577591460677,0.08667363855178371,1,1,7,8,-5.199337582605575,3,3,1,3,3,1,1,1.5909563650730387,5,-5.199337582605575,-0.839326044562651,0.9574536341270142,0,4,1,4,1.053106263987631,-5.199337582605575,-5.199337582605575,0.24842731208518273,0.800496097974559,-5.199337582605575,-0.7630300992592184,-5.199337582605575,-1.018778135032987,-5.199337582605575,3,-0.26268576068373695,5,1.7679032638815986,1,-0.8074289049225601,1,-5.199337582605575,-0.7982128566806423,4,4,2,1.4532795741807993,2.187020704753964,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,5.19933758270342,-5.199337582605575,8,4,0.5496162910697036
29,-0.26138737267788775,4,-0.5264168675711283,-1.0018366475276883,1,0,3,0,4,0,3,1,5,0,2,-1.7619480328408437,0.5745945104459379,-1.1718899531426865,-5.199337582605575,1,1,7,8,-5.199337582605575,3,3,0,3,3,3,5,-5.199337582605575,5,-5.199337582605575,-0.005384846523811633,-2.013671405766345,0,1,0,4,-2.3451579809738785,-5.199337582605575,-5.199337582605575,-2.9347700665950835,-5.199337582605575,-5.199337582605575,-0.7630300992592184,-5.199337582605575,-2.1440106677777533,-5.199337582605575,1,-1.8312243273394466,5,-5.199337582605575,5,-2.0533356042404134,2,-5.199337582605575,-1.5843543102241497,1,4,2,0.08667363855178371,-5.199337582605575,1.1942269191588064,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-0.4935533950895455,0.13337869485727427,8,4,-2.3259240295235823
30,0.7233425303259227,0,-1.059682011223806,-0.3641905599849687,1,3,3,0,4,0,9,1,2,0,5,-1.7619480328408437,-1.8658520907135028,-1.4678604169994043,-5.199337582605575,2,1,2,3,-5.199337582605575,3,1,0,3,3,3,5,-5.199337582605575,5,-5.199337582605575,0.26330600698797146,-1.411293269734521,0,4,0,4,-1.7900367893978302,0.49993321231393023,-5.199337582605575,-0.33313598412346074,-5.199337582605575,-5.199337582605575,-0.7630300992592184,-5.199337582605575,0.15492952527077714,-5.199337582605575,3,-0.26268576068373695,5,-5.199337582605575,5,-2.0533356042404134,2,-5.199337582605575,-1.4284820653066659,4,1,0,-5.199337582605575,0.46540473826743767,1.606936341813428,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,0.332198018703997,0.13337869485727427,8,4,-3.1716800416477686
32,-5.199337582605575,3,0.8355583582575463,0.5717042957649648,1,3,3,0,0,0,5,2,2,0,2,1.1920714430213706,-0.4142668635342554,1.5712864975769105,1.3716572255726536,1,1,11,13,-5.199337582605575,2,3,2,0,3,0,5,-5.199337582605575,5,-5.199337582605575,1.2049354338870706,0.48648036042064524,0,0,1,4,0.32574022224838733,-5.199337582605575,-5.199337582605575,-0.5105424261005707,-5.199337582605575,-5.199337582605575,0.5496162910697036,-5.199337582605575,0.15492952527077714,-5.199337582605575,2,0.3857258721466417,5,-5.199337582605575,1,1.4979965988053374,1,0.15619936674212687,-0.006272884668573728,4,4,2,-5.199337582605575,0.040156988733765504,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,0.13337869485727427,8,4,0.22005820330050063
33,-5.199337582605575,3,0.02132928514383558,0.41901406197347063,1,0,3,0,4,0,12,2,2,0,2,-0.832006270016473,-0.4142668635342554,-0.4528584793924642,-0.9184977079651132,3,1,2,3,-5.199337582605575,3,3,1,3,3,3,4,1.1938839407877526,5,-5.199337582605575,-0.3454850737197986,0.7982639701235902,0,2,1,4,1.3219458408567006,-5.199337582605575,-5.199337582605575,0.48648036042064524,-5.199337582605575,1.918441485013229,-0.7630300992592184,0.86072523825827,1.368450292253209,-5.199337582605575,2,-0.26268576068373695,5,0.5149233167586909,1,-0.7055299818373915,1,0.15619936674212687,-0.2574948417331492,4,4,2,-5.199337582605575,0.18165197670757277,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-0.86072523825827,5.19933758270342,8,4,-0.0012545690351248712
34,1.2753024746021526,3,-0.5264168675711283,-0.7604850912656184,1,3,3,0,4,0,16,2,2,4,2,1.8312243273394455,-0.4142668635342554,0.9694267073728421,0.7580042333190846,3,1,7,8,0.9377977680303102,0,3,2,0,3,3,2,1.371610982557117,5,-5.199337582605575,-0.2639845916795205,1.1131341512128052,0,0,1,4,0.9710136188380537,-5.199337582605575,-5.199337582605575,0.17359563628290628,0.800496097974559,-5.199337582605575,0.5496162910697036,-5.199337582605575,-1.018778135032987,-5.199337582605575,0,-0.26268576068373695,5,0.5149233167586909,1,0.9534930016811651,0,0.15619936674212687,0.4170023666077755,4,4,2,0.9436562349515141,0.3468171012040459,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,0.6975071194373863,-0.4197409936702004,8,4,1.1724883032381221
35,0.35215139697893266,3,1.6492369585066664,1.139716709474221,1,3,3,0,4,0,16,2,2,0,5,1.1920714430213706,-0.4142668635342554,0.785036049876892,0.7580042333190846,1,1,11,13,0.5481577591460677,2,3,2,0,3,0,5,-5.199337582605575,5,-5.199337582605575,1.075641651353236,0.2626857606837368,0,0,1,4,0.0800842957968114,2.03310375181142,-5.199337582605575,1.5887709585727845,-5.199337582605575,-5.199337582605575,5.19933758270342,0.86072523825827,1.368450292253209,-5.199337582605575,2,1.4045331071795468,5,0.5149233167586909,3,0.7680753131709815,0,1.4079051458418625,1.0315087602176443,4,4,2,0.287442172763095,0.06025574033725543,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,0.9242515623566275,-5.199337582605575,8,4,1.349559292646662
